test_index,true_class,bp_positive_probability,dfa_positive_probability,bp_prediction,dfa_prediction,bp_correct,dfa_correct,bp_raw_cam_min,bp_raw_cam_max,dfa_raw_cam_min,dfa_raw_cam_max,excluded,exclusion_reason,image_iou_top10,image_iou_top20,image_spearman,image_bp_constant,image_dfa_constant,image_bp_finite,image_dfa_finite,image_valid,native_iou_top10,native_iou_top20,native_spearman,native_bp_constant,native_dfa_constant,native_bp_finite,native_dfa_finite,native_valid
0,0,0.005859269295,0.2979329526,0,0,True,True,-0.00787879806,0.00173323031,-0.02116571181,0.018571347,False,,0.08726415094,0.2127589609,0.1096474926,False,False,True,True,True,0.1052631579,0.2699724518,0.04816616502,False,False,True,True,True
1,1,0.9990364313,0.4402676821,1,0,True,False,-0.005208804272,0.01252651587,-0.002991066314,0.004676413722,False,,0.08726415094,0.1977914907,0.05418921244,False,False,True,True,True,0.09219858156,0.1805377721,0.04562688281,False,False,True,True,True
2,0,0.001451076474,0.7290325761,0,1,True,False,-0.0125488583,0.002306207083,-0.004816475324,0.005750527605,False,,0.0418079096,0.06743849493,-0.05472793004,False,False,True,True,True,0.03820224719,0.1410891089,-0.03914391074,False,False,True,True,True
3,1,1,0.810123682,1,1,True,True,-0.00543698715,0.01919421926,-0.005651888438,0.009515222162,False,,0.05491990847,0.1496259352,0.1190114889,False,False,True,True,True,0.05,0.1439205955,0.09124946583,False,False,True,True,True
4,1,0.5573025942,0.4238626957,1,0,True,False,-0.007147271186,0.006496199407,-0.001699651824,0.001390621299,False,,0.09958258795,0.1816725409,0.1232807989,False,False,True,True,True,0.1052631579,0.179028133,0.1178532075,False,False,True,True,True
5,0,0.1222539842,0.4277950227,0,0,True,True,-0.004905394278,0.005336741451,-0.001407530624,0.00159378408,False,,0.04416761042,0.1071750225,0.06860519931,False,False,True,True,True,0.05239179954,0.1230207065,0.07480096055,False,False,True,True,True
6,1,0.9999980927,0.8466356397,1,1,True,True,-0.007350044791,0.02542460524,-0.005466688424,0.008186044171,False,,0.06960556845,0.179028133,0.2957796795,False,False,True,True,True,0.07192575406,0.1453416149,0.2363281908,False,False,True,True,True
7,1,0.9999990463,0.8489071727,1,1,True,True,-0.006855371874,0.02203046717,-0.005042531062,0.005821087398,False,,0.06774753909,0.1797824696,0.2878012696,False,False,True,True,True,0.06944444444,0.1582914573,0.2398819849,False,False,True,True,True
8,1,0.9999998808,0.6795021892,1,1,True,True,-0.004078359343,0.02119624615,-0.001982184825,0.003056590911,False,,0.07209302326,0.2272878536,0.4678610572,False,False,True,True,True,0.06944444444,0.2163588391,0.4386009679,False,False,True,True,True
9,0,0.001704680268,0.2817309201,0,0,True,True,-0.004223101307,0.0009988708189,-0.004175549373,0.004735081922,False,,0.009304871374,0.05131128848,-0.1642341863,False,False,True,True,True,0.02212389381,0.1582914573,-0.09950009954,False,False,True,True,True
