test_index,true_class
0,0
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,0
264,0
265,0
266,1
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,1
304,1
305,0
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,1
321,1
322,0
323,0
324,1
325,0
326,0
327,1
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,1
340,0
341,0
342,1
343,0
344,1
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,1
378,0
379,1
380,0
381,0
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,0
397,0
398,1
399,1
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,0
422,0
423,1
424,1
425,1
426,0
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,1
442,1
443,0
444,0
445,1
446,0
447,1
448,0
449,1
450,0
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,1
483,1
484,1
485,0
486,1
487,0
488,0
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,0
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,1
515,0
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,1
549,0
550,1
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,0
574,0
575,1
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,0
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,1
595,1
596,1
597,0
598,0
599,1
600,0
601,0
602,1
603,1
604,1
605,0
606,0
607,0
608,1
609,0
610,1
611,1
612,0
613,1
614,0
615,1
616,0
617,1
618,1
619,1
620,0
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,1
629,1
630,1
631,0
632,0
633,0
634,1
635,1
636,0
637,0
638,0
639,0
640,1
641,0
642,0
643,1
644,0
645,0
646,0
647,1
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,1
656,0
657,1
658,0
659,1
660,0
661,1
662,1
663,1
664,1
665,1
666,0
667,0
668,1
669,1
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,0
685,1
686,1
687,1
688,0
689,1
690,0
691,1
692,1
693,0
694,1
695,1
696,1
697,0
698,0
699,0
700,1
701,0
702,1
703,1
704,1
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,0
717,1
718,0
719,0
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,0
729,0
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,1
742,0
743,0
744,0
745,1
746,1
747,1
748,0
749,0
750,1
751,1
752,1
753,0
754,1
755,0
756,1
757,1
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,1
767,1
768,1
769,0
770,1
771,0
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,1
780,0
781,1
782,0
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,1
801,0
802,1
803,0
804,0
805,1
806,1
807,0
808,1
809,1
810,1
811,0
812,1
813,0
814,0
815,0
816,1
817,0
818,1
819,1
820,0
821,1
822,0
823,1
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,1
832,1
833,0
834,0
835,0
836,0
837,1
838,1
839,1
840,0
841,1
842,1
843,1
844,1
845,0
846,1
847,0
848,0
849,1
850,1
851,1
852,0
853,1
854,0
855,1
856,1
857,0
858,1
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,0
870,1
871,0
872,1
873,0
874,1
875,0
876,0
877,1
878,1
879,0
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,1
890,0
891,0
892,0
893,1
894,0
895,0
896,0
897,1
898,0
899,1
900,1
901,0
902,0
903,0
904,0
905,1
906,0
907,0
908,1
909,0
910,1
911,1
912,1
913,0
914,1
915,0
916,0
917,1
918,1
919,1
920,1
921,0
922,1
923,1
924,1
925,0
926,1
927,0
928,1
929,1
930,1
931,0
932,1
933,1
934,1
935,1
936,0
937,0
938,1
939,0
940,1
941,0
942,1
943,0
944,0
945,1
946,1
947,1
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,1
956,0
957,0
958,1
959,1
960,1
961,0
962,0
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,1
971,1
972,1
973,1
974,0
975,0
976,0
977,1
978,1
979,0
980,1
981,0
982,0
983,1
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,1
996,0
997,1
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,1
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,0
1018,0
1019,0
1020,1
1021,0
1022,1
1023,0
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,1
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,0
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,1
1056,0
1057,0
1058,0
1059,1
